S no,name,latitude,longitude,delivery_review_number,location
218,Pinds Of Punjab,12.9387151,77.6950334,611,"Kadubeesanahalli, Bangalore"
219,Yellow Door - The Neighbourhood Kitchen,12.9336487,77.6147617,193,"Koramangala 5th Block, Bangalore"
220,Dock 66,12.97083438,77.72489006,1,"Whitefield, Bangalore"
221,Sindh Punjab,12.96069865,77.71500164,"1,316","Brookefield, Bangalore"
222,Yuki,12.98053634,77.64081714,144,"Indiranagar, Bangalore"
223,Gopaljee Cafe,12.9653888,77.7141795,"4,855","Brookefield, Bangalore"
224,Communiti,12.97251029,77.60791909,0,"Brigade Road, Bangalore"
225,A2B - Adyar Ananda Bhavan,12.9560516,77.7215559,32K,"Varthur Main Road, Whitefield, Bangalore"
226,Daysie - All Day Casual Bar,12.9721352,77.6183869,112,"MG Road, Bangalore"
227,Poco A Poco - Global Food & Music,12.9802537,77.7511603,20,"Whitefield, Bangalore"
228,Barrys Sky Lounge,13.01882166,77.65482942,43,"Kalyan Nagar, Bangalore"
229,Monsoon - The Park Bangalore,12.97401941,77.61999037,73,"The Park, MG Road, Bangalore"
230,Lifetree,12.9650074,77.59822927,43,"Richmond Road, Bangalore"
231,The Reservoire,12.93355285,77.62223605,799,"Koramangala 5th Block, Bangalore"
232,Brooks And Bonds Brewery,12.93419201,77.62345344,71,"Koramangala 5th Block, Bangalore"
233,Xochi Bar And Kitchen,12.92397307,77.6732577,416,"Bellandur, Bangalore"
234,Stegi - Modern Indian,12.933479,77.58332223,107,"Jayanagar, Bangalore"
235,Full Circle,12.90877165,77.51244955,422,"Rajarajeshwari Nagar, Bangalore"
236,Down Town Tap Room,12.9731935,77.609125,0,"Brigade Road, Bangalore"
237,Indigo XP,12.93272187,77.61409253,6,"Koramangala 5th Block, Bangalore"
238,House Of Commons,12.91211318,77.63887782,"1,296","HSR, Bangalore"
239,Chianti,12.887395,77.563386,322,"Forum Falcon City Mall, Kanakapura Roaad, Bangalore"
240,Grill Daddy,13.0224773,77.6394482,204,"Kalyan Nagar, Bangalore"
241,Mannheim Craft Brewery,12.96990935,77.60962241,0,"Garuda Mall, Magrath Road, Bangalore"
242,Babai Tiffins,12.860853,77.776528,"3,087","Sarjapur Road, Bangalore"
243,Kling Brewery,12.97507539,77.604338,0,"Church Street, Bangalore"
244,Drink & Dine,12.90391858,77.51391973,278,"SG Arcade, Bangalore"
245,Maverick & Farmer Coffee,12.9353838,77.6285339,183,"Koramangala 4th Block, Bangalore"
246,2 Rabbits Bakes,12.93519363,77.61765509,0,"Koramangala 5th Block, Bangalore"
247,Thela Tapri By Sharma's Kitchen,12.9136063,77.6040983,"1,913","BTM, Bangalore"
248,Ishaara,12.9979038,77.6964339,148,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
249,Proxy,12.990969,77.6879753,84,"Marathahalli, Bangalore"
250,Horizon,13.0122863,77.5562248,0,"World Trade Center, Bangalore"
251,Don't Tell Mama,12.91587591,77.63471503,0,"HSR, Bangalore"
252,Shokudo,12.92462663,77.58583747,158,"Jayanagar, Bangalore"
253,Kappa Chakka Kandhari,12.94062438,77.62350071,0,"Koramangala 6th Block, Bangalore"
254,AB's - Absolute Barbecues,12.94994441,77.69892074,"2,712","Marathahalli, Bangalore"
255,MoMo Cafe - Courtyard By Marriott,12.92735633,77.68163245,112,"Courtyard & Fairfield by Marriott, Bangalore"
256,Chai Point,12.97458691,77.60661118,"2,571","Church Street, Bangalore"
257,Gatsby,12.88584459,77.59659032,141,"Bannerghatta Road, Bangalore"
258,Hangover Brewery,12.93473739,77.61356279,4,"Koramangala 7th Block, Bangalore"
259,Gilly's Restobar,12.90396139,77.60117769,98,"Bannerghatta Road, Bangalore"
260,Celeb’s Restobar,12.96871381,77.73548554,0,"Brookefield, Bangalore"
261,The Irish House,12.92034837,77.68429935,173,"RMZ Ecoworld, Bellandur, Bangalore"
262,Dhaba - Estd 1986 Delhi,12.9705735,77.64640477,"2,816","Indiranagar, Bangalore"
263,21st Amendment Gastrobar,12.96593433,77.64128912,40,"Indiranagar, Bangalore"
264,Shelby Rooftop Taproom & Kitchen,12.9610665,77.50937,6,"Nagarbhavi, Bangalore"
265,Shree Aahar,12.9010982,77.6518768,242,"HSR, Bangalore"
266,Essence Of Kolkata,12.96965573,77.74941783,224,"Whitefield, Bangalore"
267,CTR Shri Sagar - Since 1920,12.99809109,77.56947231,35.4K,"Malleshwaram, Bangalore"
268,Rasotsav,12.88855353,77.56293203,288,"Forum Falcon City Mall, Kanakapura Roaad, Bangalore"
269,Chowki Multicuisine Restaurant,12.9687904,77.7354412,461,"Whitefield, Bangalore"
270,Geist Brewing Co.,13.08379542,77.64417791,3,"Bhartiya Mall of Bengaluru, Bangalore"
271,Garden City Beer Collective,13.14165918,77.58376953,119,"Yelahanka, Bangalore"
272,Limelight - Royal Orchid Hotel,12.9572309,77.6436085,"2,772","Royal Orchid Hotel,  Old Airport Road, Bangalore"
273,Chaayos Chai+Snacks=Relax,13.02187919,77.63970394,"3,613","Kammanahalli, Bangalore"
274,Cable Car,12.91635662,77.5856933,54,"Jayanagar, Bangalore"
275,"Cha Cha Cha - Dimsum, Sushi, Stir Fry",12.99767685,77.6964397,167,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
276,You Mee,13.01138324,77.55470976,"2,791","Orion Mall, Malleshwaram, Bangalore"
